,,,,,,,United States Senator - DEM (Vote For=1),United States Senator - DEM (Vote For=1),Representative to the 120th United States Congress - District 2 - DEM (Vote For=1),Governor - DEM (Vote For=1),Governor - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),Secretary of State - DEM (Vote For=1),State Treasurer - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Attorney General - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),Regent of the University of Colorado - Congressional District 2 - DEM (Vote For=1),State Senator - District 15 - DEM (Vote For=1),State Senator - District 17 - DEM (Vote For=1),State Representative - District 10 - DEM (Vote For=1),State Representative - District 11 - DEM (Vote For=1),State Representative - District 12 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 19 - DEM (Vote For=1),State Representative - District 49 - DEM (Vote For=1),Boulder County Commissioner - District 3 - DEM (Vote For=1),Boulder County Clerk and Recorder - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Treasurer - DEM (Vote For=1),Boulder County Assessor - DEM (Vote For=1),Boulder County Sheriff - DEM (Vote For=1),Boulder County Surveyor - DEM (Vote For=1),Boulder County Coroner - DEM (Vote For=1),Secretary of State - LBR (Vote For=1),Secretary of State - LBR (Vote For=1),United States Senator - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Representative to the 120th United States Congress - District 2 - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Governor - REP (Vote For=1),Secretary of State - REP (Vote For=1),State Treasurer - REP (Vote For=1),Attorney General - REP (Vote For=1),Attorney General - REP (Vote For=1),Regent of the University of Colorado - Congressional District 2 - REP (Vote For=1),State Senator - District 15 - REP (Vote For=1),State Senator - District 17 - REP (Vote For=1),State Representative - District 12 - REP (Vote For=1),State Representative - District 19 - REP (Vote For=1),State Representative - District 49 - REP (Vote For=1),Governor - UNI (Vote For=1),Governor - UNI (Vote For=1)
,,,,,,,Julie Gonzales,John Hickenlooper,Joe Neguse,Phil Weiser,Michael Bennet,Amanda Gonzalez,Jessie Danielson,Jeff Bridges,Jena Griswold,David Seligman,Michael Dougherty,Hetal Doshi,Kubs Lalchandani,Edie Hooton,Murray Smith,Janice Marchman,Katie Wallace,Junie Joseph,Karen McCormick,Kyle Brown,Anil Pesaramelli,Jillaire McMillan,Colton Jonjak Plahn,Lesley Smith,Ashley Stolzmann,Molly Fitzpatrick,Jenn Kaaoush,Rachel Friend,Cynthia Braddock,Curtis Johnson,Kayce D. W. Keane,Jeff Martin,Sean Vadney,Alex Astley,Mark Baisley,Kelley Anne Dennison,Christina Blunt (Ducommun),Scott Bottoms,Victor Marx,Barb Kirkmeyer,Write-In,"Kelvin ""K-Man"" Wimberly",James Wiley,Kevin Grantham,Michael J. Allen,David Willson,Marty Neilson,Rob Woodward,Pat Miller,Ryan Rhatigan,Dan Woog,Michael Sheperek,Paul NoÃ«l Fiorino,Jeff Peckman
CvrNumber,TabulatorNum,BatchId,RecordId,ImprintedId,CountingGroup,BallotType,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LBR,LBR,REP,REP,REP,REP,REP,REP,,,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,UNI,UNI
81794,109,99,51,109-99-51,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81795,109,99,50,109-99-50,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81796,109,99,36,109-99-36,Regular,07,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81797,109,99,20,109-99-20,Regular,07,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81798,109,99,96,109-99-96,Regular,07,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,,,,,0,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81799,109,99,95,109-99-95,Regular,07,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,,,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81800,109,99,57,109-99-57,Regular,07,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81801,109,99,56,109-99-56,Regular,07,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81802,109,99,39,109-99-39,Regular,07,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81803,109,99,21,109-99-21,Regular,07,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,,,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81804,109,99,4,109-99-4,Regular,07,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81805,109,99,98,109-99-98,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81806,109,99,97,109-99-97,Regular,07,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,,,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81807,109,99,59,109-99-59,Regular,07,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81808,109,99,58,109-99-58,Regular,07,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81809,109,99,40,109-99-40,Regular,07,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81810,109,99,22,109-99-22,Regular,07,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,,,,,0,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81811,109,99,11,109-99-11,Regular,07,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81812,109,99,69,109-99-69,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81813,109,99,68,109-99-68,Regular,07,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81814,109,99,41,109-99-41,Regular,07,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81815,109,99,23,109-99-23,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81816,109,99,16,109-99-16,Regular,07,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81817,109,99,65,109-99-65,Regular,07,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81818,109,99,64,109-99-64,Regular,07,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81819,109,99,42,109-99-42,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81820,109,99,24,109-99-24,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81821,109,99,12,109-99-12,Regular,07,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81822,109,99,99,109-99-99,Regular,07,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81823,109,99,67,109-99-67,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81824,109,99,66,109-99-66,Regular,07,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81825,109,99,43,109-99-43,Regular,07,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81826,109,99,25,109-99-25,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,0,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81827,109,99,9,109-99-9,Regular,07,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81828,109,99,63,109-99-63,Regular,07,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81829,109,99,62,109-99-62,Regular,07,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81830,109,99,44,109-99-44,Regular,07,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81831,109,99,26,109-99-26,Regular,07,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81832,109,99,13,109-99-13,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81833,109,99,72,109-99-72,Regular,07,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81834,109,99,71,109-99-71,Regular,07,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81835,109,99,27,109-99-27,Regular,07,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,,,,,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81836,109,99,3,109-99-3,Regular,07,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81837,109,99,76,109-99-76,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81838,109,99,75,109-99-75,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81839,109,99,47,109-99-47,Regular,07,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81840,109,99,28,109-99-28,Regular,07,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81841,109,99,10,109-99-10,Regular,07,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81842,109,99,74,109-99-74,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81843,109,99,73,109-99-73,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81844,109,99,46,109-99-46,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81845,109,99,29,109-99-29,Regular,07,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81846,109,99,82,109-99-82,Regular,07,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,,,,,0,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81847,109,99,81,109-99-81,Regular,07,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,,,,,0,,,,,0,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81848,109,99,55,109-99-55,Regular,07,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81849,109,99,30,109-99-30,Regular,07,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81850,109,99,15,109-99-15,Regular,07,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81851,109,99,78,109-99-78,Regular,07,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,,,0,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81852,109,99,77,109-99-77,Regular,07,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81853,109,99,52,109-99-52,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81854,109,99,31,109-99-31,Regular,07,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81855,109,99,5,109-99-5,Regular,07,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81856,109,99,80,109-99-80,Regular,07,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81857,109,99,79,109-99-79,Regular,07,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81858,109,99,53,109-99-53,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81859,109,99,32,109-99-32,Regular,07,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81860,109,99,8,109-99-8,Regular,07,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81861,109,99,84,109-99-84,Regular,07,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,,,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81862,109,99,83,109-99-83,Regular,07,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81863,109,99,60,109-99-60,Regular,07,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81864,109,99,17,109-99-17,Regular,07,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,,,,0,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
81865,109,99,86,109-99-86,Regular,07,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,,,,0,,,,,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81866,109,99,85,109-99-85,Regular,07,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,,,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81867,109,99,54,109-99-54,Regular,07,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81868,109,99,34,109-99-34,Regular,07,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81869,109,99,18,109-99-18,Regular,07,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81870,109,99,87,109-99-87,Regular,07,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81871,109,99,61,109-99-61,Regular,07,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81872,109,99,37,109-99-37,Regular,07,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81873,109,99,7,109-99-7,Regular,07,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81874,109,99,90,109-99-90,Regular,07,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81875,109,99,89,109-99-89,Regular,07,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81876,109,99,70,109-99-70,Regular,07,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,,,,,1,,,,,1,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81877,109,99,38,109-99-38,Regular,07,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81878,109,99,14,109-99-14,Regular,07,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81879,109,99,1,109-99-1,Regular,07,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81880,109,99,45,109-99-45,Regular,07,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81881,109,99,88,109-99-88,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81882,109,99,2,109-99-2,Regular,07,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81883,109,99,33,109-99-33,Regular,07,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81884,109,100,90,109-100-90,Regular,10,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81885,109,100,54,109-100-54,Regular,10,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,,0,,,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81886,109,100,53,109-100-53,Regular,10,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81887,109,100,37,109-100-37,Regular,10,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81888,109,100,19,109-100-19,Regular,10,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81890,109,100,92,109-100-92,Regular,10,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81891,109,100,91,109-100-91,Regular,10,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81892,109,100,52,109-100-52,Regular,13,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,0,,,,1,0,0,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81893,109,100,51,109-100-51,Regular,13,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81894,109,100,38,109-100-38,Regular,10,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,,1,,,1,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81895,109,100,20,109-100-20,Regular,10,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81897,109,100,66,109-100-66,Regular,10,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81898,109,100,65,109-100-65,Regular,13,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,,1,,,,1,0,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81899,109,100,40,109-100-40,Regular,13,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81900,109,100,21,109-100-21,Regular,10,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81902,109,100,64,109-100-64,Regular,10,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81903,109,100,63,109-100-63,Regular,10,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81904,109,100,41,109-100-41,Regular,13,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,,1,,,,0,1,0,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81905,109,100,22,109-100-22,Regular,07,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,,,,,0,,,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81907,109,100,96,109-100-96,Regular,10,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,,1,,,1,,,,,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81908,109,100,95,109-100-95,Regular,07,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81909,109,100,58,109-100-58,Regular,10,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,,1,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81910,109,100,57,109-100-57,Regular,10,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,0,,,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81911,109,100,39,109-100-39,Regular,10,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81912,109,100,23,109-100-23,Regular,07,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,,,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81913,109,100,14,109-100-14,Regular,10,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,,1,,,1,,,,,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81914,109,100,98,109-100-98,Regular,10,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,,0,,,0,,,,,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81915,109,100,97,109-100-97,Regular,10,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81916,109,100,60,109-100-60,Regular,10,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,,1,,,1,,,,,1,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81917,109,100,59,109-100-59,Regular,10,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,,0,,,0,,,,,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
81918,109,100,43,109-100-43,Regular,07,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
81919,109,100,24,109-100-24,Regular,07,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,,,,,1,,,,,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
