parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct
"nruns=100 cat=clcaNoerror mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.012, StatRejectNull, 4.45, 3697.39, 3697.39, 4140.82, 0.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.002, StatRejectNull, 3.76, 9231.66, 9231.66, 9441.6, 92.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.003, StatRejectNull, 4.56, 8954.61, 8954.61, 9120.88, 89.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.02, StatRejectNull, 8.82, 5948.22, 5948.22, 5990.19, 57.99999999999999
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.016, StatRejectNull, 9.78, 7240.34, 7240.34, 7285.38, 71.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.01, StatRejectNull, 8.94, 7971.95, 7971.95, 8036.72, 79.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.008, StatRejectNull, 8.27, 8105.39, 8105.39, 8191.24, 80.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.012, StatRejectNull, 9.03, 7317.97, 7317.97, 7378.72, 72.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.004, StatRejectNull, 6.58, 9328.02, 9328.02, 9405.28, 93.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.006, StatRejectNull, 8.09, 8895.78, 8895.78, 8947.29, 88.0
"nruns=100 cat=corla mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.005, StatRejectNull, 7.44, 9227.33, 9227.33, 9296.16, 92.0
