parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 298.0, 299.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 460.25, 461.25, 0.0, 0.0, 364.82533834699586, 0.019940199999999995
"nruns=100 cat=corla.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 468.77, 469.77000000000004, 0.0, 0.0, 334.1634885800662, 0.019925300000000003
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 57240.91999999999, 57241.34999999999, 56999.99999999999, 56.99999999999999, 620.9576372316745, 0.01937180000000001
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 380.38, 381.38000000000017, 0.0, 0.0, 237.53289372211168, 0.01987649999999999
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 1839.79, 1840.79, 0.0, 0.0, 1739.1415830518229, 0.0194874
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 199.0, 200.0, 0.0, 0.0, 0.0, 0.030000000000000096
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 1562.48, 1563.4799999999996, 0.0, 0.0, 2987.0543466097156, 0.019631399999999993
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 257.6, 258.6, 0.0, 0.0, 209.89735586709998, 0.029919200000000014
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 238.53, 239.53, 0.0, 0.0, 86.38697297625376, 0.029912300000000013
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 756.4, 757.4, 0.0, 0.0, 656.126222612692, 0.01981219999999999
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 153.0, 154.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=100 cat=corla.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 507.26, 508.2599999999997, 0.0, 0.0, 1019.0000551521084, 0.029533800000000002
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 205.0, 206.0, 0.0, 0.0, 0.0, 0.030000000000000096
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 149.0, 150.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=100 cat=rlauxe.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 192.68, 193.68, 0.0, 0.0, 156.26361572675836, 0.039868799999999996
"nruns=100 cat=rlauxe.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 119.0, 120.0, 0.0, 0.0, 0.0, 0.04999999999999991
"nruns=100 cat=rlauxe.005 mvrsFuzzPct=0.005 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 329.78, 330.7799999999999, 0.0, 0.0, 300.9330018459258, 0.029774799999999994
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.02, StatRejectNull, 1.0, 1287.01, 1288.0099999999998, 0.0, 0.0, 988.6851217146943, 0.019674900000000002
"nruns=100 cat=corla.002 mvrsFuzzPct=0.002 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 168.9, 169.89999999999998, 0.0, 0.0, 58.41977404954594, 0.0399091
"nruns=100 cat=rlauxe.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 541.25, 542.2499999999998, 0.0, 0.0, 502.6495871877346, 0.038765600000000025
"nruns=100 cat=corla.02 mvrsFuzzPct=0.02 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 17201.3, 17202.14, 16000.0, 16.0, 4192.159113565074, 0.029045699999999983
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.04, StatRejectNull, 1.0, 348.26, 349.26000000000005, 0.0, 0.0, 350.96619837243577, 0.03945980000000002
"nruns=100 cat=corla.000 mvrsFuzzPct=0.0 auditType=3.0 ", 100000, 0.05, StatRejectNull, 1.0, 122.0, 123.0, 0.0, 0.0, 0.0, 0.04999999999999991
"nruns=100 cat=rlauxe.01 mvrsFuzzPct=0.01 auditType=3.0 ", 100000, 0.03, StatRejectNull, 1.0, 629.53, 630.5300000000001, 0.0, 0.0, 578.9950337438138, 0.02951030000000001
