parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin, extra/nrounds
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 186.6, 0.0, 0.0, 0.0, 87.39130391520658, 0.040000000000000036, -186.6
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 1146.0499999999997, 0.0, 0.0, 0.0, 987.1477333712517, 0.07000000000000006, -1146.05
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 327.90000000000003, 0.0, 0.0, 0.0, 219.23911603543743, 0.06000000000000005, -327.9
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 361.29999999999995, 0.0, 0.0, 0.0, 293.18425946834185, 0.07000000000000006, -361.3
"nruns=20 cat=clca ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 88.0, 0.0, 0.0, 0.0, 0.0, 0.07000000000000006, -88.0
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 996.35, 0.0, 0.0, 0.0, 689.1037857246178, 0.08000000000000007, -996.35
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 845.7, 0.0, 0.0, 0.0, 624.1375729757023, 0.10000000000000009, -845.7
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 104.60000000000001, 0.0, 0.0, 0.0, 28.40316883729701, 0.07000000000000006, -104.6
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 136.54999999999998, 0.0, 0.0, 0.0, 49.74783914905249, 0.06000000000000005, -136.55
"nruns=20 cat=clca ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 61.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000009, -61.0
"nruns=20 cat=clca ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 77.0, 0.0, 0.0, 0.0, 0.0, 0.08000000000000007, -77.0
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 136.29999999999998, 0.0, 0.0, 0.0, 93.55271241391134, 0.07000000000000006, -136.3
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 1137.5500000000002, 0.0, 0.0, 0.0, 923.8809162981992, 0.050000000000000044, -1137.55
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 193.95, 0.0, 0.0, 0.0, 106.09734916575438, 0.08000000000000007, -193.95
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 209.75, 0.0, 0.0, 0.0, 179.24672242470712, 0.06000000000000005, -209.75
"nruns=20 cat=clca ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.20000000000000004, -30.0
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 410.3, 0.0, 0.0, 0.0, 379.812861814868, 0.08000000000000007, -410.3
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 172.79999999999998, 0.0, 0.0, 0.0, 88.48593108511658, 0.050000000000000044, -172.8
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 841.1, 0.0, 0.0, 0.0, 814.7682431219322, 0.06000000000000005, -841.1
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 64.85000000000001, 0.0, 0.0, 0.0, 15.640572240170757, 0.10000000000000009, -64.85
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 676.95, 0.0, 0.0, 0.0, 336.6993428862017, 0.050000000000000044, -676.95
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 89.64999999999999, 0.0, 0.0, 0.0, 33.620343543753386, 0.10000000000000009, -89.65
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 256.84999999999997, 0.0, 0.0, 0.0, 186.59910905467905, 0.050000000000000044, -256.85
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 125.74999999999999, 0.0, 0.0, 0.0, 86.60015877583596, 0.10000000000000009, -125.75
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 85.25, 0.0, 0.0, 0.0, 29.74537779218815, 0.08000000000000007, -85.25
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 520.65, 0.0, 0.0, 0.0, 399.3473769789905, 0.07000000000000006, -520.65
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 299.90000000000003, 0.0, 0.0, 0.0, 190.19066748923305, 0.10000000000000009, -299.9
"nruns=20 cat=poll mvrsFuzzPct=0.0 auditType=2.0 ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 189.50000000000003, 0.0, 0.0, 0.0, 124.49518062961312, 0.20000000000000004, -189.5
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 201.85, 0.0, 0.0, 0.0, 150.55838568475687, 0.07000000000000006, -201.85
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 103.45000000000002, 0.0, 0.0, 0.0, 75.85807471851628, 0.08000000000000007, -103.45
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 179.59999999999997, 0.0, 0.0, 0.0, 114.53750477463703, 0.08000000000000007, -179.6
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 126.89999999999999, 0.0, 0.0, 0.0, 106.80538375943415, 0.10000000000000009, -126.9
"nruns=20 cat=oneaudit-50% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 73.64999999999999, 0.0, 0.0, 0.0, 48.9359530406837, 0.20000000000000004, -73.65
"nruns=20 cat=oneaudit-83% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 42.4, 0.0, 0.0, 0.0, 21.691933984778764, 0.20000000000000004, -42.4
"nruns=20 cat=oneaudit-75% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 49.05, 0.0, 0.0, 0.0, 36.2235765765889, 0.20000000000000004, -49.05
"nruns=20 cat=oneaudit-90% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 34.699999999999996, 0.0, 0.0, 0.0, 9.59218431849597, 0.20000000000000004, -34.7
"nruns=20 cat=oneaudit-96% mvrsFuzzPct=0.0 auditType=1.0 ", 50000, 0.19999999999999996, StatRejectNull, 1.0, 30.800000000000004, 0.0, 0.0, 0.0, 6.675327707311455, 0.20000000000000004, -30.8
