parameters, N, reportedMean, reportedMeanDiff, nsuccess, ntrials, totalSamples, stddev, percentHist
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.002, 10000, 10000, 1365360, 78.76120303804412 , "10000 [1:10000 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.005, 10000, 10000, 2152890, 161.7729911913603 , "10000 [1:9998 2:2 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.0075, 10000, 10000, 3104305, 246.5100553116445 , "10000 [1:9790 2:210 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.01, 10000, 10000, 4472904, 355.6760555165896 , "10000 [1:8852 2:1146 3:2 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.53, -0.02, 10000, 10000, 23601147, 1403.0917142310805 , "10000 [1:2051 2:1491 3:2475 4:2522 5:1268 6:192 7:1 ]"
"p2oracle=0.001 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.001, 10000, 10000, 846874, 35.001726832257795 , "10000 [1:10000 ]"
"p2oracle=0.002 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.002, 10000, 10000, 939153, 49.72697583716511 , "10000 [1:10000 ]"
"p2oracle=0.01 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.01, 10000, 10000, 2377845, 195.11477765599884 , "10000 [1:9964 2:36 ]"
"p2oracle=0.005 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.005, 10000, 10000, 1323470, 96.77748803828283 , "10000 [1:10000 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.0075, 10000, 10000, 1754515, 138.76945142123324 , "10000 [1:9999 2:1 ]"
"p2oracle=0.02 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.02, 10000, 10000, 8041243, 594.6741467808321 , "10000 [1:5809 2:3741 3:448 4:2 ]"
"p2oracle=0.0075 p2prior=0.001 d2=100.0 ", 10000, 0.55, -0.0075, 10000, 10000, 1200144, 93.13327006306604 , "10000 [1:10000 ]"
"p2oracle=0.03 p2prior=0.001 d2=100.0 ", 10000, 0.54, -0.03, 10000, 10000, 33196581, 1688.4173210448862 , "10000 [1:1386 2:658 3:1355 4:2246 5:2619 6:1516 7:218 8:2 ]"
