parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.004, StatRejectNull, 3.26, 6259.38, 6159.379999999998, 6991.13, 1.0, 2949.9229163361665
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.01, StatRejectNull, 3.25, 2629.9, 2629.9, 2971.81, 0.0, 1830.6441789708892
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.012, StatRejectNull, 3.17, 2116.65, 2116.650000000001, 2390.82, 0.0, 1588.875674022357
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.06, StatRejectNull, 2.02, 263.21, 263.21, 296.56, 0.0, 275.4667419127036
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.006, StatRejectNull, 3.57, 4780.62, 4780.62, 5402.08, 0.0, 2580.4410350945827
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.005, StatRejectNull, 3.62, 5811.47, 5811.470000000001, 6561.69, 0.0, 2712.3516676677464
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=3.0 ", 10000, 0.008, StatRejectNull, 3.74, 3912.42, 3912.42, 4405.1, 0.0, 2153.052299318342
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.1, StatRejectNull, 1.96, 140.89, 140.89, 155.48, 0.0, 126.84288667481515
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.08, StatRejectNull, 2.18, 206.58, 206.58000000000007, 232.88, 0.0, 171.13399311650508
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.07, StatRejectNull, 2.34, 252.69, 252.68999999999994, 286.44, 0.0, 210.5789493277996
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.04, StatRejectNull, 2.72, 563.15, 563.1500000000001, 638.71, 0.0, 498.22798747159914
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.05, StatRejectNull, 2.8, 443.3, 443.29999999999995, 498.41, 0.0, 355.1451675019668
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.03, StatRejectNull, 3.17, 945.57, 945.5700000000005, 1064.58, 0.0, 721.17203571686
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.002, StatRejectNull, 2.98, 9022.29, 8222.29, 9468.240000000002, 19.0, 3267.1657572042486
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.02, StatRejectNull, 3.98, 1826.61, 1826.6100000000004, 2068.61, 0.0, 1228.5337186662805
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.016, StatRejectNull, 4.02, 2388.73, 2388.7300000000005, 2688.5, 0.0, 1665.873235603478
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.1, StatRejectNull, 2.98, 269.5, 269.5000000000001, 301.15, 0.0, 245.2285260731304
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.003, StatRejectNull, 3.31, 8538.28, 7938.319999999999, 9210.14, 6.0, 2776.416657385863
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.08, StatRejectNull, 3.6, 455.12, 455.11999999999995, 510.68, 0.0, 349.9151405698245
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.012, StatRejectNull, 4.32, 3528.55, 3528.5500000000006, 3993.69, 0.0, 2240.848997032152
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.07, StatRejectNull, 3.8, 575.26, 575.2600000000001, 647.13, 0.0, 432.79659471858133
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.06, StatRejectNull, 3.99, 724.46, 724.4599999999999, 814.19, 0.0, 537.4069672045572
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.05, StatRejectNull, 4.29, 950.83, 950.8299999999999, 1075.3, 0.0, 672.7306601456486
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.01, StatRejectNull, 4.36, 4317.22, 4317.220000000004, 4834.27, 0.0, 2443.250435710593
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.04, StatRejectNull, 4.59, 1343.98, 1343.9800000000005, 1525.97, 0.0, 1028.361619081537
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.001, StatRejectNull, 2.06, 9361.880000000001, 8761.93, 9836.71, 41.0, 3405.6592642018263
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.006, StatRejectNull, 4.32, 6453.77, 6253.7800000000025, 7175.62, 0.0, 2765.5058979506807
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.004, StatRejectNull, 3.83, 7354.29, 7254.300000000001, 8055.53, 1.0, 2910.9536955105254
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.005, StatRejectNull, 4.19, 6949.45, 6949.450000000003, 7674.9800000000005, 2.0, 2738.1215542931923
"nruns=100 fuzzPct=0.02 mvrsFuzzPct=0.02 auditType=3.0 ", 10000, 0.008, StatRejectNull, 4.56, 5508.08, 5508.080000000002, 6129.01, 0.0, 2683.7188067306906
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.03, StatRejectNull, 5.6, 2406.42, 2406.4199999999996, 2726.06, 0.0, 1325.8846041794134
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.02, StatRejectNull, 6.35, 4242.89, 4242.890000000001, 4771.35, 0.0, 1941.174715964537
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.016, StatRejectNull, 6.28, 5110.34, 5110.339999999998, 5756.52, 0.0, 2162.2762784621214
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.003, StatRejectNull, 3.28, 8866.670000000002, 7866.74, 9411.490000000002, 19.0, 3604.857022422797
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.002, StatRejectNull, 2.96, 8921.720000000001, 8221.75, 9424.119999999999, 23.0, 3445.26116232721
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.012, StatRejectNull, 5.87, 5796.12, 5796.120000000001, 6475.95, 0.0, 2395.616961369241
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.01, StatRejectNull, 5.92, 6764.02, 6764.020000000001, 7514.61, 0.0, 2275.670815298206
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.004, StatRejectNull, 3.99, 8546.91, 8146.91, 9074.039999999999, 18.0, 2860.1109383318917
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.006, StatRejectNull, 4.76, 7817.84, 7417.850000000001, 8433.89, 4.0, 2796.349682490818
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.008, StatRejectNull, 5.53, 7456.74, 7356.750000000002, 8192.56, 0.0, 2330.7772367817565
"nruns=100 fuzzPct=0.05 mvrsFuzzPct=0.05 auditType=3.0 ", 10000, 0.005, StatRejectNull, 4.42, 8096.759999999999, 7696.790000000002, 8679.92, 6.0, 2933.066495514859
