parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev, mvrMargin
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.008, StatRejectNull, 1.0, 8732.67, 8733.669999999996, 0.0, 0.0, 1824.3565827710324, 0.008105000000000003
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 3022.77, 3023.77, 0.0, 0.0, 1655.5633594338815, 0.03978899999999999
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.012, StatRejectNull, 1.0, 7845.49, 7846.489999999999, 0.0, 0.0, 1967.9116163842316, 0.011900999999999988
"nruns=100 fuzzPct=0.0025 mvrsFuzzPct=0.0025 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1187.07, 1188.0699999999995, 0.0, 0.0, 692.2544800143945, 0.06984600000000002
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.016, StatRejectNull, 1.0, 6691.84, 6692.840000000001, 0.0, 0.0, 2123.916659005245, 0.016050000000000012
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.006, StatRejectNull, 1.0, 9103.45, 9104.449999999995, 0.0, 0.0, 1827.2563606401816, 0.005706999999999998
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.002, StatRejectNull, 1.0, 9742.28, 9743.110000000002, 300.0, 3.0, 1033.318821673639, 0.0019220000000000081
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.07, StatRejectNull, 1.0, 1310.6, 1311.5999999999997, 0.0, 0.0, 806.5510523209301, 0.06948400000000002
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.005, StatRejectNull, 1.0, 8902.91, 8903.909999999998, 0.0, 0.0, 2442.973430453144, 0.004882000000000004
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.001, SampleSumRejectNull, 1.0, 9578.310000000001, 9578.820000000002, 3300.0, 33.0, 2091.5157599701724, 6.609999999999971E-4
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.1, StatRejectNull, 1.0, 637.62, 638.6199999999999, 0.0, 0.0, 455.32429717729747, 0.09909099999999997
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.03, StatRejectNull, 1.0, 3930.87, 3931.8700000000003, 0.0, 0.0, 2079.9594594847276, 0.02976600000000001
"nruns=100 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=2.0 ", 10000, 0.04, StatRejectNull, 1.0, 2913.02, 2914.02, 0.0, 0.0, 1663.706157829561, 0.039714999999999986
"nruns=100 fuzzPct=0.01 mvrsFuzzPct=0.01 auditType=2.0 ", 10000, 0.008, StatRejectNull, 1.0, 8189.51, 8190.509999999998, 0.0, 0.0, 2631.640079855146, 0.0076929999999999985
