parameters, N, margin, status, nrounds, samplesUsed, samplesNeeded, nmvrs, failPct, neededStddev
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.04, StatRejectNull, 1.32, 189.75, 189.75000000000006, 268.45, 0.0, 77.87546147535822
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.09, 113.55, 113.55000000000005, 141.06, 0.0, 70.68611957095962
"nruns=100 cat=noerror fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.37, 892.48, 892.4800000000001, 1606.97, 0.0, 855.5215424523221
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.016, StatRejectNull, 1.28, 829.19, 829.1899999999999, 1397.65, 0.0, 624.0700072107296
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.05, StatRejectNull, 1.37, 146.44, 146.43999999999997, 183.47, 0.0, 58.03228756476863
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.02, StatRejectNull, 1.27, 513.4, 513.3999999999997, 922.69, 0.0, 419.4435361285235
"nruns=100 cat=oracle fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.39, 119.36, 119.36000000000004, 140.32, 0.0, 45.72625504018452
"nruns=100 cat=fuzzPct/2 fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.18, 121.22, 121.22000000000003, 142.22, 0.0, 63.64881460011647
"nruns=100 cat=fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.23, 126.31, 126.30999999999999, 148.08, 0.0, 71.56531212815327
"nruns=100 cat=2*fuzzPct fuzzPct=0.005 mvrsFuzzPct=0.005 auditType=3.0 ", 50000, 0.06, StatRejectNull, 1.51, 125.36, 125.35999999999997, 149.69, 0.0, 52.27399353407008
